produk_id,nama_produk,kategori,tanaman_target,fase_aplikasi,hama_penyakit,media_tanam,dosis_pemakaian,keyword,deskripsi,harga,stok,created at
45,Hypolax 400 SL 1 L – Herbisida,Herbisida,"Perkebunan, Pertanian, Lahan Kosong","Pra Tanam, Persiapan Lahan","Gulma Daun Lebar, Gulma Daun Sempit, Rumput, Teki-Tekian","Perkebunan, Pertanian, Lahan Kosong",Dosis pemakaian umumnya 2 – 6 liter per hektar atau sekitar 5 – 10 ml per liter air.,"obat gulma,
herbisida glyphosate,
racun rumput,
obat teki teki,
pembasmi alang alang,
obat lahan penuh rumput,
pengendali gulma,
herbisida sawit,
herbisida perkebunan,
obat gulma kebun,
obat rumput liar,
gulma daun lebar,
gulma daun sempit,
pembersih lahan,
herbisida sebelum tanam,
obat lahan kosong","Hypolax 400 SL merupakan herbisida sistemik berbahan aktif glyphosate yang digunakan untuk mengendalikan gulma daun lebar, gulma daun sempit, rumput liar, dan teki teki pada area pertanian maupun perkebunan.

Produk ini banyak digunakan sebagai obat gulma, racun rumput, pembasmi alang alang, pengendali teki teki, serta pembersih lahan sebelum tanam.

Gejala yang dapat ditangani antara lain lahan dipenuhi rumput liar, pertumbuhan gulma yang menghambat tanaman utama, serta area perkebunan yang tertutup gulma dan semak liar.",Rp.60.000,5,04/05/2026 22:22:32
46,Icon 100 CS 250 ml – Insektisida,Insektisida,"Pertanian, Lingkungan, Gudang",Saat Ditemukan Hama,"Nyamuk, Lalat, Kecoa, Serangga Pengganggu","Bangunan, Lingkungan, Area Pertanian","Dosis pemakaian umumnya sekitar 2,5 – 5 ml per liter air untuk aplikasi semprot permukaan.","obat nyamuk,
insektisida nyamuk,
obat lalat,
obat kecoa,
racun serangga,
pengendali serangga,
insektisida lambda cyhalothrin,
obat hama lingkungan,
pengendali lalat,
pengendali nyamuk,
obat serangga gudang,
insektisida residual,
obat serangga rumah,
racun kecoa","Icon 100 CS merupakan insektisida berbahan aktif lambda cyhalothrin yang digunakan untuk mengendalikan nyamuk, lalat, kecoa, dan berbagai serangga pengganggu pada lingkungan maupun area pertanian.

Produk ini banyak digunakan sebagai obat nyamuk, racun lalat, pengendali kecoa, dan insektisida residual yang memberikan perlindungan dalam jangka waktu lama.

Gejala yang dapat ditangani antara lain populasi serangga yang tinggi pada lingkungan, gudang penyimpanan, area pertanian, maupun bangunan yang memerlukan pengendalian hama.",Rp136.000,7,04/05/2026 22:25:22
47,Iguana 50 EC 100ml,Insektisida,"Padi, Cabai, Tomat, Jagung, Hortikultura","Vegetatif, Generatif","Ulat Grayak, Kutu Daun, Thrips, Belalang","Sawah, Kebun","Dosis pemakaian Iguana 50 EC umumnya sekitar 0,25 – 0,5 ml per liter air, atau sekitar 50 – 100 ml per hektar, tergantung tingkat serangan. Aplikasi dilakukan dengan penyemprotan merata pada daun tanaman.","obat ulat grayak,
insektisida ulat,
obat thrips,
obat kutu daun,
obat belalang,
racun serangga,
obat daun berlubang,
obat daun keriting,
obat tanaman dimakan ulat,
insektisida cabai,
insektisida tomat,
insektisida jagung,
insektisida padi,
pengendali thrips,
racun hama pengunyah,
obat serangan ulat","Iguana 50 EC merupakan insektisida berbahan aktif golongan piretroid yang digunakan untuk mengendalikan ulat grayak, kutu daun, thrips, dan belalang pada tanaman padi, cabai, tomat, jagung, serta berbagai tanaman hortikultura.

Produk ini banyak digunakan sebagai obat ulat grayak, insektisida thrips, racun kutu daun, dan pengendali belalang yang merusak tanaman.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting karena kutu daun dan thrips, tanaman rusak akibat serangan belalang, serta penurunan pertumbuhan tanaman karena hama pengunyah.",Rp.70.000,5,04/05/2026 22:31:14
48,Indodine 485 SL 1 L – Herbisida,Herbisida,"Kelapa Sawit, Karet, Jagung, Tebu, Lahan Pra Tanam","Pra Tanam, Awal Pertumbuhan Gulma","Gulma Daun Lebar, Gulma Rumput, Teki-Tekian","Sawah, Lahan Kering, Perkebunan","Dosis pemakaian umumnya 2 – 6 liter per hektar atau sekitar 5 – 10 ml per liter air, tergantung kepadatan gulma","herbisida gulma,
obat gulma,
racun rumput,
pembasmi rumput liar,
obat teki teki,
racun teki,
pengendali gulma sawah,
herbisida glyphosate,
obat rumput kebun,
pembasmi gulma perkebunan,
obat rumput kelapa sawit,
obat gulma jagung,
obat gulma tebu,
obat gulma karet,
gulma daun lebar,
gulma rumput,
gulma teki,
rumput liar,
lahan penuh gulma,
pengendali gulma total,
herbisida non selektif,
herbisida sistemik","Indodine 485 SL merupakan herbisida sistemik berbahan aktif glyphosate yang digunakan untuk mengendalikan gulma rumput, gulma daun lebar, dan teki teki pada lahan pertanian maupun perkebunan.

Produk ini banyak digunakan sebagai obat gulma, racun rumput liar, pembasmi teki teki, pengendali gulma kebun kelapa sawit, lahan karet, jagung, dan tebu.

Gejala yang dapat dikendalikan antara lain lahan ditumbuhi rumput liar, gulma mengganggu pertumbuhan tanaman, banyak teki teki di kebun, gulma daun lebar sulit dikendalikan, dan persaingan unsur hara akibat gulma.

Cocok digunakan sebelum tanam maupun saat gulma masih aktif tumbuh.

Dosis aplikasi 5 sampai 10 ml per liter air atau 2 sampai 6 liter per hektar tergantung kepadatan gulma.",Rp.75.000,5,04/05/2026 22:33:30
49,Lesenta 80 WG 100 gr – Insektisida,Insektisida,"Cabai, Tomat, Bawang Merah, Padi, Hortikultura","Vegetatif, Generatif","Ulat, Kutu Daun, Thrips, Serangga Penghisap","Sawah, Lahan Terbuka","Dosis pemakaian umumnya sekitar 0,5 – 1 gram per liter air, atau sekitar 100 – 200 gram per hektar.","insektisida ulat,
obat ulat,
racun ulat,
pengendali ulat,
obat kutu daun,
insektisida kutu daun,
obat thrips,
racun thrips,
pengendali thrips,
obat daun keriting,
obat daun menggulung,
obat tanaman diserang kutu,
obat tanaman diserang thrips,
insektisida cabai,
insektisida tomat,
insektisida bawang merah,
insektisida padi,
pengendali hama penghisap,
obat serangga tanaman,
pestisida ulat daun","Lesenta 80 WG merupakan insektisida yang digunakan untuk mengendalikan ulat, kutu daun, thrips, dan berbagai serangga penghisap pada tanaman cabai, tomat, bawang merah, padi, dan tanaman hortikultura.

Produk ini digunakan sebagai obat ulat, insektisida kutu daun, pengendali thrips, dan pestisida hama penghisap yang menyebabkan kerusakan daun maupun pertumbuhan tanaman.

Gejala yang dapat dikendalikan antara lain daun keriting akibat kutu daun, daun menggulung, serangan thrips pada pucuk, tanaman kerdil akibat hama penghisap, dan daun rusak akibat ulat.

Cocok diaplikasikan pada fase vegetatif maupun generatif ketika populasi hama mulai meningkat.

Dosis aplikasi sekitar 0,5 sampai 1 gram per liter air atau 100 sampai 200 gram per hektar.",Rp152.000,10,04/05/2026 22:38:08
50,Pexalon 106 SC 100 ml – Insektisida,Insektisida,Padi,"Vegetatif, Generatif","Wereng Coklat, Wereng Hijau, Hama Penghisap",Sawah,"Dosis pemakaian Pexalon 106 SC umumnya sekitar 0,5 – 1 ml per liter air, atau sekitar 100 – 200 ml per hektar.","obat wereng,
insektisida wereng,
racun wereng,
pengendali wereng coklat,
obat padi kena wereng,
pestisida wereng padi,
obat daun padi menguning,
obat hopperburn,
pengendali hama penghisap padi,
insektisida sistemik padi,
obat wereng hijau,
racun hama padi,
pengendali serangga padi,
obat tanaman padi kerdil,
pestisida padi","Pexalon 106 SC merupakan insektisida sistemik yang dirancang khusus untuk mengendalikan wereng coklat, wereng hijau, dan hama penghisap pada tanaman padi.

Produk ini banyak digunakan sebagai obat wereng padi, insektisida wereng coklat, pengendali hama penghisap, dan perlindungan tanaman padi dari kerusakan akibat serangan wereng.

Gejala yang dapat dikendalikan antara lain daun padi menguning, tanaman padi mengering, pertumbuhan terhambat, gejala hopperburn, dan kerusakan akibat serangan wereng.

Cocok digunakan pada fase vegetatif hingga generatif awal.

Dosis aplikasi sekitar 0,5 sampai 1 ml per liter air atau 100 sampai 200 ml per hektar.",Rp. 248.000,5,04/05/2026 22:39:12
51,Sankill 100 ml – Insektisida,Insektisida,"Cabai, Tomat, Padi, Jagung, Hortikultura","Vegetatif, Generatif","Ulat, Kutu Daun, Thrips, Serangga Penghisap","Sawah, Lahan Terbuka","Dosis pemakaian Sankill umumnya sekitar 0,5 – 1 ml per liter air, atau sekitar 100 – 200 ml per hektar, tergantung tingkat serangan hama. Aplikasi dilakukan dengan penyemprotan merata pada daun tanaman.","insektisida ulat,
obat ulat,
racun ulat,
pengendali ulat grayak,
obat kutu daun,
insektisida kutu daun,
obat thrips,
racun thrips,
obat daun keriting,
obat daun menggulung,
obat tanaman diserang ulat,
obat tanaman diserang kutu,
obat tanaman diserang thrips,
insektisida cabai,
insektisida tomat,
insektisida padi,
insektisida jagung,
pengendali hama serangga,
racun hama tanaman,
pestisida serangga","Sankill merupakan insektisida yang digunakan untuk mengendalikan ulat, kutu daun, thrips, dan berbagai serangga penghisap pada tanaman cabai, tomat, padi, jagung, dan tanaman hortikultura.

Produk ini digunakan sebagai obat ulat, racun kutu daun, pengendali thrips, dan pestisida serangga yang menyerang daun, pucuk, maupun batang tanaman.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting karena kutu daun, daun menggulung, pertumbuhan tanaman terhambat, serta kerusakan pucuk akibat serangan hama penghisap.

Cocok diaplikasikan pada fase vegetatif hingga generatif ketika populasi hama mulai meningkat.

Dosis aplikasi umumnya sekitar 0,5 sampai 2 ml per liter air sesuai jenis tanaman dan tingkat serangan.",Rp.20.000,5,04/05/2026 22:40:55
52,Klensect 200 EC 100ml,Insektisida,"Padi, Jagung, Cabai, Kedelai, Hortikultura","Vegetatif, Generatif","Ulat Grayak, Penggerek Batang, Kutu Daun, Thrips","Sawah, Lahan Terbuka","Dosis pemakaian umumnya 1 – 2 ml per liter air, atau sekitar 200 – 400 ml per hektar. Aplikasi dilakukan dengan penyemprotan merata pada tanaman.","insektisida ulat grayak,
obat ulat grayak,
racun ulat grayak,
pengendali ulat grayak,
obat penggerek batang,
insektisida penggerek batang,
obat kutu daun,
racun kutu daun,
obat thrips,
racun thrips,
obat daun berlubang,
obat daun keriting,
obat tanaman dimakan ulat,
obat tanaman terserang thrips,
obat tanaman terserang kutu,
insektisida cabai,
insektisida padi,
insektisida jagung,
insektisida kedelai,
pengendali hama serangga","Klensect 200 EC merupakan insektisida berbahan aktif golongan organofosfat yang bekerja sebagai racun kontak dan lambung untuk mengendalikan ulat grayak, penggerek batang, kutu daun, dan thrips pada tanaman padi, jagung, cabai, kedelai, dan hortikultura.

Produk ini digunakan sebagai obat ulat grayak, insektisida penggerek batang, pengendali kutu daun, dan pestisida thrips yang menyerang berbagai tanaman pertanian.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, batang tanaman rusak karena penggerek, daun keriting akibat kutu daun, pucuk tanaman rusak karena thrips, serta pertumbuhan tanaman yang terhambat akibat serangan hama.

Cocok diaplikasikan pada fase vegetatif hingga generatif saat populasi hama mulai meningkat.

Dosis aplikasi 1 sampai 2 ml per liter air atau sekitar 200 sampai 400 ml per hektar.",Rp.20.000,4,04/05/2026 22:52:13
53,Lannate 25 WP 100 gr – Insektisida,Insektisida,"Cabai, Tomat, Kubis, Bawang Merah, Hortikultura","Vegetatif, Generatif","Ulat Grayak, Thrips, Kutu Daun, Lalat","Lahan Terbuka, Sawah","Dosis pemakaian umumnya 1 – 2 gram per liter air, atau sekitar 200 – 400 gram per hektar.","insektisida ulat grayak,
obat ulat grayak,
racun ulat,
obat thrips,
racun thrips,
obat kutu daun,
racun kutu daun,
obat lalat tanaman,
insektisida cabai,
insektisida tomat,
insektisida kubis,
insektisida bawang merah,
obat daun berlubang,
obat daun keriting,
obat pucuk rusak,
obat tanaman diserang ulat,
pengendali hama serangga,
pestisida hortikultura,
obat hama daun,
racun hama tanaman","Lannate 25 WP merupakan insektisida berbahan aktif methomyl yang bekerja sebagai racun kontak dan lambung dengan efek knockdown cepat untuk mengendalikan ulat grayak, thrips, kutu daun, dan lalat pada tanaman cabai, tomat, kubis, dan bawang merah.

Produk ini banyak digunakan sebagai obat ulat grayak, insektisida thrips, pengendali kutu daun, dan pestisida serangga pada tanaman hortikultura.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting karena kutu daun, pucuk tanaman rusak akibat thrips, tanaman layu karena serangan hama, dan kerusakan daun yang menurunkan hasil panen.

Cocok digunakan saat populasi hama meningkat pada fase vegetatif maupun generatif.

Dosis aplikasi 1 sampai 2 gram per liter air atau sekitar 200 sampai 400 gram per hektar.",Rp.20.000,5,04/05/2026 22:55:52
54,Lannate 40 SP 100 gr – Insektisida,Insektisida,"Cabai, Tomat, Kubis, Bawang Merah, Sayuran","Vegetatif, Generatif","Ulat, Thrips, Kutu Daun, Lalat Buah","Lahan Terbuka, Sawah","Dosis pemakaian umumnya 0,5 – 1 gram per liter air, atau sekitar 150 – 300 gram per hektar.","insektisida ulat,
obat ulat,
racun ulat,
obat thrips,
racun thrips,
obat kutu daun,
obat lalat buah,
pengendali lalat buah,
insektisida cabai,
insektisida tomat,
insektisida kubis,
insektisida bawang merah,
obat buah rusak,
obat daun keriting,
obat daun berlubang,
obat tanaman terserang ulat,
pengendali hama sayuran,
racun serangga tanaman,
obat hama buah,
pestisida hortikultura","Lannate 40 SP merupakan insektisida berbahan aktif methomyl konsentrasi tinggi yang digunakan untuk mengendalikan ulat, thrips, kutu daun, dan lalat buah pada tanaman cabai, tomat, kubis, bawang merah, dan berbagai sayuran.

Produk ini digunakan sebagai obat ulat, insektisida lalat buah, pengendali thrips, dan pestisida kutu daun yang menyerang tanaman hortikultura.

Gejala yang dapat dikendalikan antara lain daun berlubang, daun keriting, buah rusak akibat lalat buah, pucuk tanaman rusak, dan pertumbuhan tanaman yang terganggu akibat serangan serangga.

Cocok digunakan saat serangan hama mulai terlihat pada fase vegetatif maupun generatif.

Dosis aplikasi 0,5 sampai 1 gram per liter air atau sekitar 150 sampai 300 gram per hektar.",Rp.30.000,20,04/05/2026 23:00:39
55,Larvin 75 WP 100 gr – Insektisida,Insektisida,"Kedelai, Kapas, Cabai, Tomat, Jagung","Vegetatif, Generatif","Ulat Grayak, Ulat Buah, Penggerek Tanaman","Sawah, Lahan Terbuka","Dosis pemakaian umumnya 1 – 2 gram per liter air, atau sekitar 200 – 400 gram per hektar.","insektisida ulat grayak,
obat ulat grayak,
racun ulat buah,
obat ulat buah,
pengendali penggerek,
obat penggerek tanaman,
insektisida kedelai,
insektisida cabai,
insektisida tomat,
insektisida jagung,
obat daun berlubang,
obat buah berlubang,
obat tanaman dimakan ulat,
obat tanaman terserang penggerek,
racun larva,
pengendali ulat tanaman,
obat hama pemakan daun,
pestisida ulat,
obat hama buah,
insektisida larva","Larvin 75 WP merupakan insektisida berbahan aktif thiodicarb yang bekerja sebagai racun lambung dan kontak untuk mengendalikan ulat grayak, ulat buah, dan penggerek tanaman pada kedelai, kapas, cabai, tomat, dan jagung.

Produk ini banyak digunakan sebagai obat ulat grayak, insektisida ulat buah, pengendali penggerek tanaman, dan pestisida larva serangga.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, buah rusak karena ulat buah, batang terserang penggerek, tanaman muda rusak akibat larva, dan pertumbuhan tanaman yang terhambat.

Cocok diaplikasikan sejak awal serangan hama untuk mencegah kerusakan yang lebih luas.

Dosis aplikasi 1 sampai 2 gram per liter air atau sekitar 200 sampai 400 gram per hektar.",Rp. 70.000,20,04/05/2026 23:03:14
56,Manthene 75 SP 100 gr – Insektisida,Insektisida,"Cabai, Padi, Bawang Merah, Hortikultura","Vegetatif, Generatif","Kutu Daun, Thrips, Ulat, Serangga Penghisap","Sawah, Lahan Terbuka","Dosis pemakaian umumnya 0,5 – 1 gram per liter air, atau sekitar 100 – 200 gram per hektar.","obat kutu daun,
insektisida kutu daun,
obat thrips,
racun thrips,
obat ulat,
racun ulat,
obat daun keriting,
obat daun menggulung,
obat tanaman diserang kutu,
obat tanaman diserang thrips,
obat tanaman diserang ulat,
insektisida cabai,
insektisida padi,
insektisida bawang merah,
pengendali hama penghisap,
racun serangga tanaman,
obat pucuk rusak,
obat tanaman kerdil,
pestisida hortikultura,
pengendali hama serangga","Manthene 75 SP merupakan insektisida yang digunakan untuk mengendalikan kutu daun, thrips, ulat, dan berbagai serangga penghisap pada tanaman cabai, padi, bawang merah, dan tanaman hortikultura.

Produk ini digunakan sebagai obat kutu daun, insektisida thrips, pengendali ulat, dan pestisida serangga penghisap yang menyebabkan kerusakan daun dan pucuk tanaman.

Gejala yang dapat dikendalikan antara lain daun keriting akibat kutu daun, daun menggulung karena thrips, daun berlubang akibat ulat, pucuk tanaman rusak, serta pertumbuhan tanaman terhambat akibat serangan hama.

Cocok diaplikasikan pada fase vegetatif maupun generatif ketika populasi hama mulai meningkat.

Dosis aplikasi 0,5 sampai 1 gram per liter air atau sekitar 100 sampai 200 gram per hektar.",Rp.,4,04/05/2026 23:07:11
57,Marshal 200 EC 500 ml – Insektisida / Nematisida,Insektisida,"Padi, Jagung, Tebu, Kentang, Sayuran","Vegetatif, Generatif Awal","Wereng, Penggerek Batang, Ulat Tanah, Nematoda","Sawah, Tanah, Lahan Terbuka","Dosis pemakaian umumnya 1 – 2 ml per liter air, atau sekitar 200 – 500 ml per hektar.","insektisida wereng,
obat wereng padi,
pestisida wereng,
obat penggerek batang,
insektisida penggerek batang,
obat sundep,
obat beluk,
pengendali ulat tanah,
obat nematoda,
nematisida tanaman,
insektisida jagung,
insektisida tebu,
insektisida kentang,
obat akar rusak,
obat tanaman layu karena nematoda,
hama penghisap,
obat hama padi,
obat hama jagung,
carbosulfan,
marshal 200 ec","Marshal 200 EC merupakan insektisida dan nematisida berbahan aktif carbosulfan yang bekerja secara sistemik, kontak, dan lambung untuk mengendalikan wereng, penggerek batang, ulat tanah, serta nematoda pada tanaman padi, jagung, tebu, kentang, dan berbagai sayuran.

Produk ini banyak digunakan sebagai obat wereng padi, insektisida penggerek batang, obat sundep, obat beluk, pengendali ulat tanah, dan nematisida untuk mengatasi gangguan akar tanaman.

Gejala yang dapat dikendalikan antara lain tanaman padi menguning akibat wereng, batang tanaman rusak akibat penggerek batang, tanaman rebah karena sundep, akar rusak akibat nematoda, pertumbuhan tanaman terhambat, serta serangan ulat tanah pada tanaman muda.

Dosis pemakaian umumnya 1–2 ml per liter air atau 200–500 ml per hektar dengan aplikasi semprot merata pada tanaman yang terserang.",68.000,5,05/05/2026 15:07:01
58,Matador 25 EC 80 ml – Insektisida,Insektisida,"Padi, Cabai, Tomat, Jagung, Hortikultura","Vegetatif, Generatif","Ulat Grayak, Thrips, Kutu Daun, Belalang","Sawah, Tanah, Lahan Terbuka","Dosis pemakaian Matador 25 EC umumnya 0,25 – 0,5 ml per liter air, atau sekitar 50 – 100 ml per hektar, tergantung tingkat serangan hama","obat ulat grayak,
insektisida ulat grayak,
pestisida ulat,
obat thrips,
insektisida thrips,
obat kutu daun,
insektisida kutu daun,
obat belalang,
pengendali serangga pengunyah,
obat daun berlubang,
obat cabai keriting,
hama cabai,
hama tomat,
hama jagung,
hama padi,
lambda cyhalothrin,
matador 25 ec","Matador 25 EC merupakan insektisida berbahan aktif lambda-cyhalothrin yang bekerja sebagai racun kontak dan lambung dengan efek knockdown cepat untuk mengendalikan ulat grayak, thrips, kutu daun, dan belalang.

Produk ini digunakan sebagai insektisida ulat grayak, obat thrips cabai, pengendali kutu daun, dan pestisida untuk hama pengunyah pada tanaman padi, cabai, tomat, jagung, serta tanaman hortikultura lainnya.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting akibat thrips, pertumbuhan tanaman terganggu karena kutu daun, dan kerusakan daun akibat belalang.

Dosis pemakaian umumnya 0,25–0,5 ml per liter air atau 50–100 ml per hektar dengan penyemprotan merata pada tanaman.",Rp.25.000,5,05/05/2026 15:15:24
59,Metha 400 EC 500 ml – Insektisida,Insektisida,"Padi, Cabai, Tomat, Kedelai, Hortikultura",Vegetatif,"Kutu Daun, Wereng, Thrips, Serangga Penghisap","Sawah, Tanah","Dosis pemakaian umumnya 1 – 2 ml per liter air, atau sekitar 200 – 400 ml per hektar.","obat wereng,
insektisida wereng,
obat kutu daun,
obat thrips,
pengendali serangga penghisap,
insektisida sistemik,
obat daun keriting,
obat daun menguning,
hama padi,
hama cabai,
hama tomat,
hama kedelai,
dimetoat,
dimethoate,
metha 400 ec","Metha 400 EC merupakan insektisida sistemik berbahan aktif dimetoat yang digunakan untuk mengendalikan kutu daun, wereng, thrips, dan berbagai serangga penghisap pada tanaman padi, cabai, tomat, kedelai, dan hortikultura.

Produk ini sering digunakan sebagai obat wereng padi, pengendali kutu daun cabai, insektisida thrips, dan pestisida serangga penghisap yang menyerang tanaman budidaya.

Gejala yang dapat dikendalikan antara lain daun keriting, daun menguning, pertumbuhan tanaman terhambat, tanaman kerdil akibat serangan wereng, serta kerusakan akibat kutu daun dan thrips.

Dosis pemakaian umumnya 1–2 ml per liter air atau 200–400 ml per hektar.",Rp.75.000,25,05/05/2026 15:17:50
60,Metindo 25 WP 100 gr – Insektisida,Insektisida,"Cabai, Tomat, Kubis, Bawang Merah, Sayuran","Vegetatif, Generatif","Ulat Grayak, Thrips, Kutu Daun, Lalat Buah","Tanah, Lahan Terbuka","Dosis pemakaian umumnya 1 – 2 gram per liter air, atau sekitar 200 – 400 gram per hektar.","obat ulat grayak,
insektisida ulat,
obat thrips,
insektisida thrips,
obat kutu daun,
obat lalat buah,
pengendali ulat cabai,
obat daun berlubang,
obat cabai keriting,
hama bawang merah,
hama tomat,
hama kubis,
methomyl,
metindo 25 wp","Metindo 25 WP merupakan insektisida berbahan aktif methomyl yang bekerja sebagai racun kontak dan lambung untuk mengendalikan ulat grayak, thrips, kutu daun, dan lalat buah.

Produk ini digunakan sebagai insektisida ulat grayak, obat thrips cabai, pengendali kutu daun, dan pestisida lalat buah pada tanaman cabai, tomat, kubis, bawang merah, serta sayuran lainnya.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting akibat thrips, buah rusak karena lalat buah, dan pertumbuhan tanaman terganggu akibat kutu daun.

Dosis pemakaian umumnya 1–2 gram per liter air atau 200–400 gram per hektar.",Rp.16.000,3,05/05/2026 15:28:40
61,Metindo 40 SP 200gr,Insektisida,"Cabai, Tomat, Kubis, Bawang Merah, Hortikultura","Vegetatif, Generatif","Ulat, Thrips, Kutu Daun, Lalat Buah","Tanah, Lahan Terbuka","Dosis pemakaian umumnya 0,5 – 1 gram per liter air, atau sekitar 150 – 300 gram per hektar","obat ulat,
insektisida ulat,
obat thrips,
insektisida thrips,
obat kutu daun,
obat lalat buah,
pengendali serangga penghisap,
obat daun berlubang,
obat cabai keriting,
hama tomat,
hama kubis,
hama bawang merah,
methomyl,
metindo 40 sp","Metindo 40 SP merupakan insektisida berbahan aktif methomyl dengan konsentrasi tinggi yang digunakan untuk mengendalikan ulat, thrips, kutu daun, dan lalat buah pada tanaman cabai, tomat, kubis, bawang merah, dan berbagai tanaman hortikultura.

Produk ini digunakan sebagai obat ulat, insektisida thrips, pengendali kutu daun, serta pestisida lalat buah yang menyebabkan kerusakan pada tanaman dan hasil panen.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting akibat thrips, serangan kutu daun pada pucuk tanaman, dan buah rusak akibat lalat buah.

Dosis pemakaian umumnya 0,5–1 gram per liter air atau 150–300 gram per hektar dengan penyemprotan merata pada tanaman yang terserang.",Rp.45.000,5,05/05/2026 15:30:38
62,Mexican 300 EC 80ml,Insektisida,"Cabai, Padi, Bawang Merah, Hortikultura","Vegetatif, Generatif","Ulat Grayak, Thrips, Kutu Daun, Penggerek","Sawah, Tanah, Lahan Terbuka",Dosis pemakaian umumnya 1 – 2 gram per liter air atau 200 – 400 gram per hektar,"obat ulat grayak,
insektisida ulat grayak,
pestisida ulat,
obat thrips,
insektisida thrips,
obat kutu daun,
insektisida kutu daun,
obat penggerek batang,
obat sundep,
obat daun berlubang,
obat cabai keriting,
hama cabai,
hama bawang merah,
hama padi,
profenofos,
mexican 300 ec,
racun kontak,
racun lambung","Mexican 300 EC merupakan insektisida berbahan aktif profenofos yang bekerja sebagai racun kontak dan lambung untuk mengendalikan ulat grayak, thrips, kutu daun, serta penggerek pada tanaman cabai, padi, bawang merah, dan berbagai tanaman hortikultura.

Produk ini digunakan sebagai insektisida ulat grayak, obat thrips cabai, pengendali kutu daun, obat sundep, dan pestisida penggerek batang yang sering menyebabkan kerusakan tanaman.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting akibat thrips, pucuk tanaman rusak akibat kutu daun, batang tanaman terserang penggerek, serta pertumbuhan tanaman yang terganggu karena serangan hama.

Dosis pemakaian umumnya 1–2 ml per liter air atau 200–400 ml per hektar dengan penyemprotan merata pada tanaman yang terserang.",Rp.60.000,6,05/05/2026 15:56:45
63,Mipcinta 50 WP 100gr,Insektisida,"Padi, Sayuran",Vegetatif,"Wereng, Kutu Daun, Serangga Penghisap","Sawah, Tanah",Dosis pemakaian umumnya 1 – 2 gram per liter air atau 200 – 400 gram per hektar.,"obat wereng,
insektisida wereng,
pestisida wereng padi,
obat kutu daun,
insektisida kutu daun,
obat hama penghisap,
pengendali wereng coklat,
obat tanaman kerdil,
obat daun menguning,
hama padi,
hama sayuran,
mipc,
isoprocarb,
mipcinta 50 wp,
insektisida sistemik ringan","Mipcinta 50 WP merupakan insektisida berbahan aktif MIPC (isoprocarb) yang bekerja sebagai racun kontak dan sistemik ringan untuk mengendalikan wereng, kutu daun, dan berbagai serangga penghisap pada tanaman padi dan sayuran.

Produk ini digunakan sebagai obat wereng padi, insektisida kutu daun, pengendali hama penghisap, dan pestisida untuk mengatasi serangan wereng coklat pada lahan budidaya.

Gejala yang dapat dikendalikan antara lain tanaman padi menguning, pertumbuhan tanaman kerdil, daun menggulung akibat serangan hama penghisap, serta kerusakan pucuk tanaman karena kutu daun.

Dosis pemakaian umumnya 1–2 gram per liter air atau 200–400 gram per hektar.",Rp.15.000,5,05/05/2026 15:58:55
64,Miramar 40 SP 100 gr – Insektisida,Insektisida,"Cabai, Tomat, Kubis, Sayuran","Vegetatif, Generatif","Ulat, Thrips, Kutu Daun, Lalat Buah","Tanah, Lahan Terbuka","Dosis pemakaian umumnya 0,5 – 1 gram per liter air atau 100 – 200 gram per hektar","obat ulat,
insektisida ulat,
obat thrips,
insektisida thrips,
obat kutu daun,
pengendali hama cabai,
obat daun berlubang,
obat cabai keriting,
hama tomat,
hama kubis,
hama sayuran,
miramar 40 sp,
racun kontak,
racun lambung","Miramar 40 SP merupakan insektisida yang bekerja sebagai racun kontak dan lambung untuk mengendalikan ulat, thrips, dan kutu daun pada tanaman cabai, tomat, kubis, serta berbagai tanaman sayuran.

Produk ini digunakan sebagai insektisida ulat, obat thrips cabai, pengendali kutu daun, dan pestisida untuk mengatasi serangan hama yang merusak daun dan pucuk tanaman.

Gejala yang dapat dikendalikan antara lain daun berlubang akibat ulat, daun keriting akibat thrips, pucuk tanaman rusak akibat kutu daun, dan pertumbuhan tanaman yang terhambat karena serangan serangga.

Dosis pemakaian umumnya 0,5–1 gram per liter air atau 100–200 gram per hektar.",Rp.24.000,6,05/05/2026 16:00:31
